2.39;162.67;160;160.20;170.76;11448
120.83;348.98;123.00;120;119.88;101.39;11332
121.10;349.67;121.00;120;119.51;101.08;11332
120.82;348.18;122.00;120;119.31;100.92;11340
120.59;347.88;122.00;120;119.85;101.37;11332
120.66;348.21;123.00;120;119.85;101.37;11340
120.92;349.19;121.00;120;119.77;101.30;11340
120.77;348.13;121.00;120;119.42;101.01;11328
120.43;347.18;122.00;120;119.82;101.34;11432
120.49;347.77;123.00;120;120.08;101.56;11328
120.87;349.14;123.00;120;119.87;101.38;11320
121.14;349.75;121.00;120;119.46;101.04;11448
120.83;348.18;122.00;120;119.29;100.90;11340
120.58;347.87;123.00;120;119.85;101.37;11428
120.83;348.98;123.00;120;119.88;101.39;11324
121.10;349.67;121.00;120;119.51;101.09;11328
120.82;348.18;122.00;120;119.31;100.92;11344
120.59;347.88;122.00;120;119.85;101.37;11332
120.66;348.21;123.00;120;119.85;101.37;11332
120.92;349.19;121.00;120;119.77;101.30;11328
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11436
120.49;347.77;123.00;120;120.08;101.56;11336
120.87;349.14;121.00;120;119.87;101.38;11420
120.79;348.20;121.00;120;119.41;101.01;11332
120.45;347.22;122.00;120;119.80;101.32;11340
120.49;347.78;123.00;120;120.08;101.55;11332
120.87;349.14;123.00;120;119.87;101.38;11328
121.14;349.75;121.00;120;119.46;101.05;11344
120.83;348.18;122.00;120;119.29;100.90;11332
120.58;347.87;122.00;120;119.85;101.37;11320
120.66;348.21;123.00;120;119.86;101.37;11428
120.92;349.19;121.00;120;119.77;101.30;11332
120.78;348.13;121.00;120;119.42;101.01;11324
120.43;347.19;122.00;120;119.82;101.34;11432
120.49;347.77;123.00;120;120.08;101.56;11332
120.87;349.14;121.00;120;119.87;101.38;11436
120.79;348.20;121.00;120;119.41;101.01;11328
120.45;347.22;122.00;120;119.80;101.32;11328
120.49;347.78;123.00;120;120.08;101.55;11332
120.87;349.14;123.00;120;119.87;101.38;11324
121.14;349.75;121.00;120;119.46;101.05;11340
120.83;348.18;122.00;120;119.29;100.90;11328
120.58;347.87;122.00;120;119.85;101.37;11324
120.66;348.21;123.00;120;119.86;101.37;11436
120.92;349.19;121.00;120;119.77;101.30;11332
120.78;348.13;122.00;120;119.42;101.01;11416
120.61;347.96;122.00;120;119.85;101.36;11332
120.68;348.26;123.00;120;119.83;101.35;11340
120.92;349.19;121.00;120;119.76;101.29;11352
120.77;348.13;121.00;120;119.42;101.01;11336
120.43;347.18;122.00;120;119.83;101.34;11344
120.49;347.77;123.33;120;120.09;101.56;11328
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11332
120.72;348.18;122.00;120;119.65;101.20;11336
120.68;348.20;123.00;120;119.79;101.32;11428
120.90;349.12;121.00;120;119.78;101.31;11332
120.76;348.11;122.00;120;119.44;101.02;11392
120.60;347.96;122.00;120;119.85;101.37;11316
120.68;348.26;123.00;120;119.83;101.34;11328
120.92;349.19;121.00;120;119.76;101.29;11352
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.83;101.34;11328
120.49;347.77;123.33;120;120.09;101.56;11328
120.93;349.40;123.33;120;119.88;101.39;11324
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11328
120.72;348.18;123.00;120;119.65;101.20;11428
120.85;348.97;123.00;120;119.81;101.34;11336
121.09;349.60;121.00;120;119.52;101.10;11336
120.81;348.16;122.00;120;119.32;100.93;11348
120.59;347.89;122.00;120;119.86;101.37;11332
120.67;348.22;123.00;120;119.85;101.36;11352
